letter,HebrewWord,HebrewWordwithNikud,EnglishTranslation,GermanTranslation,ImagePrompt1,ImagePrompt2
ח,חום,חוֹם,Heat,Hitze,"The sun beats down on a desert landscape, with shimmering heat waves rising from the sand. Cacti and sparse vegetation dot the terrain.","A cozy fireplace crackles with warm flames, casting a golden glow on the room. People sit around it, enjoying the warmth on a cold winter night."
ח,הצבע הוא חום,הַצֶּבַע הוּא חוּם,The color is brown,Die Farbe ist braun,"Various brown objects, such as a teddy bear, a tree trunk, and a chocolate bar, are arranged against a light background.","A swirling abstract painting in various shades of brown, creating a sense of warmth and earthiness."
ח,חציל,חָצִיל,Eggplant,Aubergine,"A glossy purple eggplant grows in a garden, surrounded by leafy green plants. Sunlight filters through the leaves.","A chef prepares a delicious eggplant dish in a colorful kitchen, chopping vegetables and adding spices. The aroma fills the air."
ח,חריף,חָרִיף,Spicy,Scharf,"Red chili peppers hang on a string, their vibrant color indicating their fiery heat.",A cartoon character with a flushed face and smoke coming out of their ears after eating a very spicy pepper.
ח,חבל,חֶבֶל,Rope,Seil,"A thick rope hangs from a tree branch, swaying gently in the breeze. Children play on a rope swing nearby.","A sailor ties a complex knot with a rope on a ship's deck, with the vast ocean stretching out behind him."
ח,חם לי,חַם לִי,I'm hot,Mir ist heiß,"A person sits under a beach umbrella, fanning themselves with a magazine and drinking a cold drink.",A melting ice cream cone drips onto a hot sidewalk on a sunny summer day.
ט,טונה,טוּנָה,Tuna,Thunfisch,"A large tuna fish swims powerfully through the ocean, its streamlined body glistening in the sunlight.",A delicious tuna steak is served on a plate with fresh vegetables and lemon wedges.
ט,טורנדו,טוֹרְנָדוֹ,Tornado,Tornado,"A powerful tornado sweeps across a landscape, its swirling vortex picking up debris and dust. Dark storm clouds gather in the sky.","A cartoon tornado with a mischievous grin spins across a field, playfully picking up cows and houses."
ט,טורקיה,טוּרְקִיָּה,Turkey (country),Türkei,"The Hagia Sophia in Istanbul, with its majestic dome and minarets, stands against a blue sky.","A hot air balloon floats over the unique rock formations of Cappadocia, Turkey. Tourists wave from the basket below."
ט,טל,טַל,Dew,Tau,"Sparkling dewdrops cling to blades of grass in the early morning light, creating a glistening scene.","A spiderweb covered in dewdrops glistens in the morning sun, creating a delicate and intricate pattern."
י,ירקות,יְרָקוֹת,Vegetables,Gemüse,"A colorful assortment of fresh vegetables, such as carrots, tomatoes, cucumbers, and peppers, is displayed on a market stall.","A healthy salad made with mixed greens, vegetables, and a light vinaigrette dressing."
י,יוגורט,יוֹגוּרְט,Yogurt,Joghurt,A bowl of creamy yogurt topped with fresh berries and granola.,"A child enjoys a cup of yogurt with a spoon, making a happy face."
י,יופי,יוֹפִי,Beauty,Schönheit,"A breathtaking sunset over the ocean, with vibrant colors painting the sky.",A blooming flower with delicate petals and vibrant colors.
י,יבש,יָבֵשׁ,Dry,Trocken,"Cracked earth in a dry desert landscape, with sparse vegetation struggling to survive.","A towel hanging on a clothesline, drying in the sun and wind."
י,ירח,יָרֵחַ,Moon,Mond,"The full moon shines brightly in the night sky, casting a silvery glow on the landscape below.",A crescent moon with a smiling face and twinkling stars around it.
כ,כדור,כַּדּוּר,Ball,Ball,"A colorful beach ball bounces on the sand, with children playing and laughing nearby.",A soccer ball being kicked into a goal during a game.
כ,כבד,כָּבֵד,Liver,Leber,"A diagram of the human liver, showing its anatomical structure.",A plate of cooked liver with onions and gravy.
כ,כרטיס,כַּרְטִיס,Ticket,Ticket/Karte,A colorful ticket for a concert or event.,A boarding pass for a flight.
כ,כוס,כּוֹס,Cup/Glass,Tasse/Glas,A glass of water with ice cubes and a lemon slice.,A steaming cup of coffee with cream.
ל,לימון,לִימוֹן,Lemon,Zitrone,"A bright yellow lemon cut in half, showing its juicy interior.",Lemonade being poured into a glass with ice.
ל,לכלוך,לִכְלוּךְ,Dirt/Mess,Schmutz,Muddy footprints on a clean floor.,A child playing in a pile of dirt.
ל,לא,לֹא,No,Nein,"A red circle with a diagonal line through it, symbolizing no.""""","A person shaking their head to indicate no."""""
מ,ממתקים,מַמְתַּקִּים,Sweets/Candies,Süßigkeiten,A jar filled with colorful candies and lollipops.,Children enjoying various sweets and treats.
מ,מדוסה,מְדוּזָה,Medusa (jellyfish),Qualle,"A jellyfish floating gracefully in the ocean, its tentacles trailing behind it.","A group of jellyfish pulsating in the water, illuminated by underwater lights."
מ,מחשב,מַחְשֵׁב,Computer,Computer,A laptop computer with a bright screen.,A person working on a desktop computer in an office.
מ,מרפסת,מִרְפֶּסֶת,Balcony,Balkon,A balcony overlooking a beautiful cityscape or landscape.,People enjoying a meal or drinks on a balcony.
מ,מלון,מָלוֹן,Hotel,Hotel,A luxurious hotel with a swimming pool and beautiful gardens.,A hotel room with a comfortable bed and a view.
נ,נבל,נֵבֶל,Harp,Harfe,A golden harp with intricate carvings.,A musician playing a harp in a concert hall.
נ,נמלים,נְמָלִים,Ants,Ameisen,A line of ants carrying food across the ground.,An anthill with busy ants going in and out.
נ,נחל,נַחַל,Stream/Brook,Bach,A small stream flowing through a forest or meadow.,A bridge crossing over a clear stream.
ע,ענבים,עֲנָבִים,Grapes,Trauben,A bunch of ripe grapes on a vine.,A glass of red or white wine.
ע,עוגה,עוּגָה,Cake,Kuchen,A birthday cake decorated with candles and frosting.,A slice of chocolate cake on a plate.
ע,עגבנייה,עַגְבָנִיָּה,Tomato,Tomate,A ripe red tomato growing on a vine in a garden.,A fresh tomato salad with basil and mozzarella.
ס,סוד,סוֹד,Secret,Geheimnis,A person whispering a secret into another person's ear.,A locked box containing a hidden treasure.
ס,ספסל,סַפְסָל,Bench,Bank,A wooden bench in a park under a tree.,People sitting on a bench enjoying the view.
ס,סנדוויץ',סַנְדְּוִיץ',Sandwich,Sandwich,"A delicious sandwich with various fillings, like ham, cheese, and vegetables.",A picnic basket with sandwiches and other snacks.
ס,סוס,סוס,Horse,Pferd,A majestic horse galloping across a field.,A horse-drawn carriage riding through a city.
צ,צפרדע,צְפַרְדֵּעַ,Frog,Frosch,A green frog sitting on a lily pad in a pond.,A group of tadpoles swimming in a pond.
צ,צמא,צָמֵא,Thirsty,Durstig,A person drinking a glass of water on a hot day.,A dry desert landscape with cracked earth.
צ,צוק,צוּק,Cliff,Klippe,A steep cliff overlooking the ocean.,A person climbing a cliff face.
צ,ציפורניים,צִפּוֹרְנַיִים,Fingernails/Nails,Fingernägel/Nägel,Fingernails with colorful nail polish.,A hammer and nails being used to build something.
פ,פרפר,פַּרְפַּר,Butterfly,Schmetterling,A colorful butterfly flying among flowers.,A butterfly emerging from a chrysalis.
פ,פיל,פִּיל,Elephant,Elefant,A large elephant walking through the savanna.,A baby elephant playing with its mother.
פ,פרה,פָּרָה,Cow,Kuh,A cow grazing in a field.,A glass of milk.
ר,רטוב,רָטוּב,Wet,Nass,A person walking in the rain with an umbrella.,A wet dog shaking off water.
ר,רמזור,רַמְזוֹר,Traffic light,Ampel,"A traffic light showing a red, yellow, and green light.",Cars waiting at a traffic light.
ר,רגל,רֶגֶל,Leg/Foot,Bein/Fuß,A person walking or running.,A foot wearing a shoe.
ר,ראש,רֹאשׁ,Head,Kopf,"A person's head with hair, eyes, nose, and mouth.",A portrait of a person.
ר,רצפה,רִצְפָּה,Floor,Boden,A clean and polished floor.,A person sweeping or mopping the floor.
ק,קרן,קֶרֶן,Horn/Ray,Horn/Strahl,A bull with large horns.,A ray of sunlight shining through the clouds.
ק,קרנף,קַרְנָף,Rhinoceros,Nashorn,A rhinoceros with a large horn on its nose.,A rhinoceros charging across the savanna.
ק,קוף,קוֹף,Monkey,Affe,A monkey swinging through the trees.,A group of monkeys grooming each other.
ק,קופסה,קוּפְסָה,Box,Kiste/Dose,A cardboard box or a decorative box.,A gift wrapped in a box.
ת,תות,תּוּת,Strawberry,Erdbeere,A ripe red strawberry.,A bowl of strawberries with cream.
ת,תפוח,תַּפּוּחַ,Apple,Apfel,A red or green apple.,An apple tree with ripe apples.
ת,תרנגולת,תַּרְנְגוֹלֶת,Chicken/Hen,Huhn,A chicken pecking at the ground.,A chicken laying an egg.
ת,תוכנית,תָּכְנִית,Plan/Program,Plan/Programm,A schedule or a list of activities.,A television program or a computer program.
